"CPG_SCHEDULED_START_ON";"CPG_SCHEDULED_END_ON";"CPG_ACTUAL_START_ON";"CPG_ACTUAL_END_ON";"IT_ID";"IT_NUM";"IT_NAME";"IT_SCHEDULED_START_ON";"IT_SCHEDULED_END_ON";"IT_ACTUAL_START_ON";"IT_ACTUAL_END_ON";"TC_ID";"TC_NAME";"TC_PROJECT_ID";"TC_PROJECT";"TC_WEIGHT";"TEST_SUITE";"#_EXECUTIONS";"#_REQUIREMENTS";"#_ISSUES";"DATASET";"EXEC_STATUS";"EXEC_USER";"EXECUTION_DATE";"TC_REF";"TC_NATURE";"TC_TYPE";"TC_STATUS";"STEP_ID";"STEP_NUM";"STEP_#_REQ";"EXEC_STEP_STATUS";"EXEC_STEP_DATE";"EXEC_STEP_USER";"EXEC_STEP_#_ISSUES";"EXEC_STEP_COMMENT"
"";"";"";"";"89";"1";"Iterace";"";"";"";"";"525";"Rok nezadán";"16";"OKS-07";"HIGH";"";"1";"1";"0";"";"SUCCESS";"admin";"2024/04/14 22:25:07";"TC.04.03.02.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"533";"1";"0";"SUCCESS";"2024/04/14 22:24:49";"admin";"0";""
"";"";"";"";"89";"1";"Iterace";"";"";"";"";"525";"Rok nezadán";"16";"OKS-07";"HIGH";"";"1";"1";"0";"";"SUCCESS";"admin";"2024/04/14 22:25:07";"TC.04.03.02.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"534";"2";"0";"SUCCESS";"2024/04/14 22:25:01";"admin";"0";""
"";"";"";"";"89";"1";"Iterace";"";"";"";"";"525";"Rok nezadán";"16";"OKS-07";"HIGH";"";"1";"1";"0";"";"SUCCESS";"admin";"2024/04/14 22:25:07";"TC.04.03.02.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"535";"3";"0";"SUCCESS";"2024/04/14 22:25:05";"admin";"0";""
"";"";"";"";"89";"1";"Iterace";"";"";"";"";"525";"Rok nezadán";"16";"OKS-07";"HIGH";"";"1";"1";"0";"";"SUCCESS";"admin";"2024/04/14 22:25:07";"TC.04.03.02.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"536";"4";"0";"SUCCESS";"2024/04/14 22:25:07";"admin";"0";""
"";"";"";"";"89";"1";"Iterace";"";"";"";"";"526";"Rok vědecká notace E";"16";"OKS-07";"LOW";"";"1";"1";"0";"";"SUCCESS";"admin";"2024/04/14 22:27:34";"TC.04.03.02.11";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"544";"1";"0";"SUCCESS";"2024/04/14 22:27:34";"admin";"0";""
"";"";"";"";"89";"1";"Iterace";"";"";"";"";"526";"Rok vědecká notace E";"16";"OKS-07";"LOW";"";"1";"1";"0";"";"SUCCESS";"admin";"2024/04/14 22:27:34";"TC.04.03.02.11";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"537";"2";"0";"SUCCESS";"2024/04/14 22:25:46";"admin";"0";""
"";"";"";"";"89";"1";"Iterace";"";"";"";"";"526";"Rok vědecká notace E";"16";"OKS-07";"LOW";"";"1";"1";"0";"";"SUCCESS";"admin";"2024/04/14 22:27:34";"TC.04.03.02.11";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"538";"3";"0";"SUCCESS";"2024/04/14 22:26:12";"admin";"0";""
"";"";"";"";"89";"1";"Iterace";"";"";"";"";"526";"Rok vědecká notace E";"16";"OKS-07";"LOW";"";"1";"1";"0";"";"SUCCESS";"admin";"2024/04/14 22:27:34";"TC.04.03.02.11";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"539";"4";"0";"SUCCESS";"2024/04/14 22:26:24";"admin";"0";""
"";"";"";"";"89";"1";"Iterace";"";"";"";"";"526";"Rok vědecká notace E";"16";"OKS-07";"LOW";"";"1";"1";"0";"";"SUCCESS";"admin";"2024/04/14 22:27:34";"TC.04.03.02.11";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"540";"5";"0";"SUCCESS";"2024/04/14 22:27:19";"admin";"0";""
"";"";"";"";"89";"1";"Iterace";"";"";"";"";"526";"Rok vědecká notace E";"16";"OKS-07";"LOW";"";"1";"1";"0";"";"SUCCESS";"admin";"2024/04/14 22:27:34";"TC.04.03.02.11";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"541";"6";"0";"SUCCESS";"2024/04/14 22:27:22";"admin";"0";""
